Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Reinscripción ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,19.0,2.0,0.0,Nivel 1,1.0,2,-0.12538971910441438
Inscripción de alumnos a educación primaria. (de 2° a 6° grado),Secretaría de Educación Pública,Instituto Hidalguense de Educación,1440.0,3.0,0.0,Nivel 1,0.0,1,-0.3881603833193521
Sustitución del Cargo de Albacea. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,2,0.4838503318171523
Equivalencia de Estudios de Educación Media Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,5.0,1.0,Nivel 4.1,1.0,0,-0.25758531151225494
Revalidación de Estudios de Educación Media Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,5.0,1.0,Nivel 4.1,1.0,0,-0.25758531151225494
CURP (Clave Única de Registro de Población),Secretaría de Educación Pública,Instituto Hidalguense de Educación,2.0,1.0,0.0,Nivel 1,0.0,1,-0.565913825990024
Registro de una institución de educación media superior y superior,Secretaría de Educación Pública,Secretaría de Educación Pública,2880.0,7.0,1.0,Nivel 2,1.0,2,0.5446781659114113
Registro Profesional Estatal,Secretaría de Educación Pública,Secretaría de Educación Pública,60.0,7.0,5.0,Nivel 2,1.0,2,1.0720249179289425
Carta de No Inconveniente para Incorporación a una Institución Educativa,Secretaría de Educación Pública,Secretaría de Educación Pública,43200.0,6.0,1.0,,1.0,2,0.7292348080671626
Informe de antecedentes profesionales,Secretaría de Educación Pública,Secretaría de Educación Pública,2880.0,1.0,1.0,Nivel 2,1.0,2,0.04962731141131432
Registro como unidad receptora de servicio social,Secretaría de Educación Pública,Secretaría de Educación Pública,1440.0,2.0,1.0,Nivel 4.1,0.0,0,-1.1892267594576305
Registro de Colegio de Profesionistas y Federación,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,3.0,1.0,Nivel 2,1.0,2,0.2865879883710981
Ampliaciones de autorizaciones para profesionistas,Secretaría de Educación Pública,Secretaría de Educación Pública,60.0,3.0,2.0,Nivel 2,1.0,2,0.27949238645051977
Servicio Médico Hospitalario,Secretaría de Salud,Secretaría de Salud,2880.0,3.0,0.0,Nivel 1,1.0,2,0.21212486449328144
Por la actualización de opiniones técnicas de factibilidad,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,2,0.3642697290009026
Por la impartición de cursos de capacitación a personas físicas o morales del sector privado,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,2,0.3642697290009026
Atención Integral a personas adultas mayores de 60 años en el Centro Estatal de Atención Geriátrica Integral (CESAGI),Secretaría de Salud,Secretaría de Salud,120.0,0.0,0.0,Nivel 1,1.0,2,-0.09169726827871338
Atención Integral a Mayores de 20 años con Enfermedades Crónico-Degenerativas (UNEME EC),Secretaría de Salud,Secretaría de Salud,2880.0,2.0,1.0,Nivel 1,0.0,1,-0.32629577479559085
Permiso de Libros de Control de Estupefacientes y Psicotrópicos,Secretaría de Salud,Secretaría de Salud,7200.0,4.0,0.0,Nivel 1,0.0,1,-0.0012641160116402261
Certificado de Calidad del Agua de Sistemas Públicos y Privados,Secretaría de Salud,Secretaría de Salud,86400.0,2.0,0.0,Nivel 1,1.0,2,0.5152596098944147
Titulación UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,25.0,6.0,0.0,Nivel 4.1,1.0,0,-0.7219291015792421
Solicitud de Licencia Sanitaria para servicios urbanos de fumigación y control de plagas.,Secretaría de Salud,Secretaría de Salud,86400.0,2.0,0.0,Nivel 1,1.0,2,0.5152596098944147
Reinscripción UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,20.0,3.0,2.0,,1.0,2,0.35599482042403197
Asesorías Complementarias Intersemestrales CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,1.0,1.0,Nivel 1,1.0,2,0.06748641855335068
Asesorías Complementarias Semestrales CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,1.0,1.0,Nivel 1,1.0,2,0.06748641855335068
Cursos de capacitación,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 3.1,1.0,2,-0.08563647142945335
Reposición de Credencial de CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,1.0,1.0,Nivel 1,1.0,2,0.06748641855335068
Reposición de Certificado de terminación de estudios CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,3.0,1.0,Nivel 1,1.0,2,0.1629093386671028
"Opinión favorable para actividades relacionadas con armas, municiones, pólvoras y explosivos, artificios y substancias químicas relacionadas con explosivos.",Secretaría de Gobierno,Secretaría de Gobierno,388800.0,5.0,1.0,Nivel 1,1.0,2,0.9933172420322893
Acuerdo de Actualización del Plan y Programa de Estudios,Secretaría de Educación Pública,Secretaría de Educación Pública,28800.0,4.0,1.0,Nivel 1,1.0,2,0.6233314304962088
Expedición de la Carta de Opinión de Pertinencia de Planes y Programas de Estudios de tipo Superior solicitada ante la COEPEES,Secretaría de Educación Pública,Secretaría de Educación Pública,172800.0,3.0,1.0,Nivel 1,1.0,2,0.7384887943009509
Programa de Atención Médica Contra Accidentes Para Escolares en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,3.0,0.0,Nivel 1,0.0,1,-0.3881603833193521
Becas ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,34560.0,1.0,2.0,Nivel 1,0.0,1,0.20571012663902472
Por la elaboración de constancia de seguridad por unidad de transporte de materiales peligrosos,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,2,0.3642697290009026
Inscripción a cursos de capacitación en línea del ICATHI,Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,30.0,1.0,1.0,Nivel 1,1.0,2,-0.1945451199151899
"Autenticación de título, diploma o grado académico",Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,12.0,1.0,Nivel 1,1.0,2,1.0502240795254059
"Diseño, tendido y corte de tela para el ensamble de prendas de vestir en el ICATHI",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,60.0,1.0,0.0,Nivel 1,1.0,2,-0.1466053382247664
Atención médica.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,60.0,0.0,0.0,,0.0,1,-0.6179513445454237
Admisión UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,1460.0,3.0,1.0,,1.0,2,0.23741352727258616
Cancelación de Hipoteca y Reserva de Dominio,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,4.0,1.0,,1.0,2,0.16409541780227876
"Representación Legal a Trabajadores, Sindicatos y Beneficiarios",Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,1.0,0.0,Nivel 1,0.0,1,0.12450112864924351
Denuncia y/o queja a posibles violaciones o incumplimientos a las norma de trabajo,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,21600.0,0.0,0.0,Nivel 1,0.0,1,-0.23604148460006102
Emisión de estado de cuenta,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,2.0,1.0,Nivel 1,1.0,2,-0.09912219980143777
Reestructuración de crédito,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,45.0,1.0,1.0,,0.0,1,-0.6342526794483916
Constancia de Viabilidad,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,7.0,2.0,Nivel 1,1.0,2,0.6982551721146562
Atención de trabajo social,Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,1,-0.6323051967478351
Prestación de servicios de Marketing Deportivo del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,15.0,0.0,1.0,Nivel 1,1.0,2,-0.23237696239244066
Albergue Revolución,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
Autorización de cambio de titular del Centro de Verificación Vehicular,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,0.0,2.0,,1.0,2,0.8417428821964491
Permiso de Publicidad Modalidad A Productos y Servicios,Secretaría de Salud,Secretaría de Salud,21600.0,4.0,1.0,Nivel 1,1.0,2,0.6002696007868562
Solicitud de Visita de Verificación de materia prima y medicamentos que sean o contengan estupefacientes o psicotrópicos Modalidad A. Balance,Secretaría de Salud,Secretaría de Salud,43200.0,1.0,0.0,Nivel 1,0.0,1,-0.180475451636761
"Reportes, Quejas y Sugerencias del Servicio Tuzobús",Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,21600.0,2.0,1.0,Nivel 2,0.0,1,-0.20769319745452391
Expedición de Tarjetón para Personas Conductoras del Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,1440.0,13.0,2.0,Nivel 1,1.0,2,1.2508956930341535
Renovación del Tarjetón para Personas Conductoras del Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,1440.0,9.0,1.0,Nivel 1,1.0,2,0.5625372730534477
Centro de Expresión Juvenil,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,11520.0,0.0,0.0,,0.0,1,-0.1754314559101278
Inscripción 1er Semestre Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,5.0,0.0,Nivel 1,1.0,2,0.08437170213648117
Readmision UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,1.0,Nivel 2,1.0,2,-0.2679442942321962
Examen de Recuperación UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,0.0,,1.0,2,-0.12747048694697488
Bitácora de Operación de Equipos y Procesos Generadores de Emisiones a la Atmósfera,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,2.0,0.0,,1.0,2,0.5330918234316611
Autorización en materia de impacto ambiental del transporte de residuos de manejo especial generados en procesos industriales y de servicios.,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,86400.0,7.0,1.0,Nivel 2,1.0,2,0.8478129113125447
Inscripción de registro de perito valuador (Catastral),Secretaría de Hacienda,Instituto Catastral,172800.0,2.0,2.0,Nivel 1,1.0,2,1.1362382318307
Puntos Topográficos con referencia de localización.,Secretaría de Hacienda,Instituto Catastral,4320.0,2.0,1.0,,1.0,2,0.39244213648941306
Restitución fotogramétrica escala 1:1000.,Secretaría de Hacienda,Instituto Catastral,4320.0,0.0,1.0,,1.0,2,0.297019216375661
"Constancias de calificaciones, reportes de evaluación y certificación de educación básica",Secretaría de Educación Pública,Instituto Hidalguense de Educación,5760.0,3.0,1.0,Nivel 4.1,1.0,0,-0.4652898361625464
Autorización para impartir educación inicial y/o básica en el estado,Secretaría de Educación Pública,Instituto Hidalguense de Educación,18720.0,2.0,3.0,Nivel 2,1.0,2,1.0400250885018196
Registro de Institución en el Catálogo de Centros de Trabajo de SEPH,Secretaría de Educación Pública,Instituto Hidalguense de Educación,20.0,2.0,1.0,Nivel 2,0.0,1,-0.7332981463773932
Becas de Educación Básica para escuelas públicas y particulares,Secretaría de Educación Pública,Instituto Hidalguense de Educación,21600.0,2.0,1.0,Nivel 4.1,0.0,0,-0.9416849406245873
Preinscripciones de Educación Básica,Secretaría de Educación Pública,Instituto Hidalguense de Educación,47520.0,1.0,0.0,Nivel 4.1,0.0,0,-0.9802257573290372
Constitución de Grupos de Productores/as de Leche.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,14400.0,5.0,1.0,Nivel 2,0.0,1,-0.01277642696027198
Capacitación en Nutrición y Manejo de Ganado Lechero.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,1.0,1.0,Nivel 2,0.0,1,-0.5506579364013192
Capacitación en Inseminación Artificial en Bovinos leche.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,1.0,1.0,Nivel 2,0.0,1,-0.5506579364013192
Reinscripción UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,30.0,1.0,1.0,Nivel 1,1.0,2,-0.1945451199151899
Historial académico UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,4320.0,1.0,0.0,Nivel 1,1.0,2,0.21729550070986337
Autorización de Bitácora de Control para Residuos de Manejo Especial,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,86400.0,2.0,1.0,,1.0,2,0.5949833255602124
Actualización al Padrón de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,1.0,2,0.13456105152156567
Elaboración de Contrato,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,3.0,1.0,,1.0,2,-0.02572302548443145
Constancia de No Afectación,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,6.0,0.0,Nivel 1,1.0,2,0.08437170213648117
Constancia No Comprendida,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,1.0,1.0,Nivel 1,1.0,2,-0.2105767115364755
Constancia de No Invasión a Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,1.0,1.0,Nivel 1,1.0,2,-0.2105767115364755
Constancia de Verificación de la Poligonal de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,1.0,1.0,Nivel 1,1.0,2,-0.2105767115364755
Examen de admisión UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,25.0,0.0,0.0,Nivel 2,1.0,2,-0.2731787218096411
Inscripción Nivel Licenciatura Bilingüe UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,31680.0,5.0,2.0,Nivel 3.7,1.0,0,0.4415280009380159
Nube de puntos derivado de vuelo con Dron,Secretaría de Hacienda,Instituto Catastral,4320.0,3.0,1.0,,1.0,2,0.39244213648941306
Otorgamiento o Renovación de Concesiones para el Servicio de Transporte Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,10.0,1.0,,1.0,2,0.3739049089019134
Pago de arrendamiento,Oficialía Mayor,Oficialía Mayor,14400.0,0.0,1.0,,0.0,1,-0.15121944172672175
Inscripción ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,20.0,6.0,0.0,Nivel 1,1.0,2,0.06834011051519558
Declaración de Impuestos Estatales,Secretaría de Hacienda,Secretaría de Hacienda,1440.0,2.0,2.0,,0.0,1,0.08931276987619458
Declaración de ISR Enajenación de Bienes Inmuebles Impuestos Federales Coordinados,Secretaría de Hacienda,Secretaría de Hacienda,120.0,6.0,2.0,,0.0,1,0.12627206767963212
Devolución por Concepto de Pago de lo Indebido Estatal,Secretaría de Hacienda,Secretaría de Hacienda,14400.0,2.0,1.0,,0.0,1,-0.05579652161296961
Pago de Créditos Fiscales Estatales,Secretaría de Hacienda,Secretaría de Hacienda,20.0,1.0,2.0,,0.0,1,-0.28417328032738376
Pago de Créditos Fiscales Federales Coordinados,Secretaría de Hacienda,Secretaría de Hacienda,20.0,1.0,2.0,,0.0,1,-0.28417328032738376
Compensación por concepto de pago de lo indebido estatal,Secretaría de Hacienda,Secretaría de Hacienda,86400.0,0.0,1.0,,0.0,1,-0.0451847751912034
Declaración de ISAN,Secretaría de Hacienda,Secretaría de Hacienda,60.0,2.0,2.0,,0.0,1,-0.11845444555313123
Movimientos y Actualización al Padrón Estatal de Contribuyentes,Secretaría de Hacienda,Secretaría de Hacienda,20.0,5.0,1.0,Nivel 3.1,0.0,1,-0.6168788774076894
Alta de vehículo particular,Secretaría de Hacienda,Secretaría de Hacienda,20.0,8.0,2.0,,1.0,2,0.7556227548103769
Baja de vehículo particular,Secretaría de Hacienda,Secretaría de Hacienda,20.0,2.0,1.0,,1.0,2,-0.04175461710571704
Expedición de Placas de Demostración para Vehículos de Agencia,Secretaría de Hacienda,Secretaría de Hacienda,20.0,1.0,2.0,Nivel 3.7,1.0,0,-0.4000206685427772
Baja de vehículo de transporte público.,Secretaría de Hacienda,Secretaría de Hacienda,20.0,3.0,1.0,,1.0,2,-0.04175461710571704
Reposición de Tarjeta de Circulación por Pérdida o Actualización Datos,Secretaría de Hacienda,Secretaría de Hacienda,1440.0,3.0,1.0,,1.0,2,0.2363085129841091
Inscripción al Registro Estatal de Contribuyentes,Secretaría de Hacienda,Secretaría de Hacienda,1440.0,1.0,1.0,Nivel 3.1,0.0,1,-0.6240571107183256
Laboratorio de Constatación de Leche.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,1.0,0.0,Nivel 2,1.0,2,-0.012237297112446949
Equivalencia de Estudios UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,44640.0,4.0,1.0,Nivel 3.7,1.0,0,0.07127085804351702
Reinscripción UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,2880.0,3.0,0.0,Nivel 3.7,1.0,0,-0.3750685300427693
Inscripción De las Demás Zonas por división (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,5.0,1.0,,1.0,2,0.6736687751038625
"Certificaciones. (Registro Público de la Propiedad y del Comercio, Registro de Crédito Agrícola)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,1.0,,1.0,2,0.38842741170340017
Cancelación de Inscripción. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,2,0.4838503318171523
Servicios de Psicología para Mujeres Jóvenes.,Secretaría de Gobierno,Ciudad de las Mujeres,60.0,0.0,1.0,,0.0,1,-0.6116268031966323
Orientación Vocacional para Mujeres Jóvenes.,Secretaría de Gobierno,Ciudad de las Mujeres,1440.0,0.0,1.0,,0.0,1,-0.40385958776730657
Expedición de Permiso de circulación.,Secretaría de Hacienda,Secretaría de Hacienda,10.0,3.0,1.0,,1.0,2,-0.09359311157329853
Baja Administrativa de Vehículos,Secretaría de Hacienda,Secretaría de Hacienda,10.0,1.0,1.0,,1.0,2,-0.18901603168705067
Alta de vehículo de transporte público,Secretaría de Hacienda,Secretaría de Hacienda,30.0,6.0,3.0,,1.0,2,0.8409383888448222
Ampliación de Periodo de Verificación Vehícular Extemporánea,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,3.0,0.0,Nivel 1,0.0,1,-0.0850525315230089
Licitaciones Públicas,Oficialía Mayor,Oficialía Mayor,0.0,0.0,0.0,,0.0,1,-0.580587671393338
Visita Guiada al Parque Ecológico Cubitos,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,0.0,0.0,Nivel 1,1.0,2,0.3642697290009026
Titulación (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,48960.0,1.0,0.0,,1.0,2,0.44770270343675067
Constancia de Residencia Profesional (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,21600.0,0.0,0.0,,1.0,2,0.3821028703546089
Atención Jurídica en Materia Familiar y Penal a Mujeres en Situación de Violencia de Género.,Secretaría de Gobierno,Ciudad de las Mujeres,120.0,0.0,3.0,,0.0,1,0.12012423779196385
Atención de Trabajo Social a Mujeres en Situación de Violencia de Género,Secretaría de Gobierno,Ciudad de las Mujeres,45.0,0.0,6.0,,0.0,1,0.1564013551734354
Inscripción UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,3.0,0.0,Nivel 3.9,1.0,0,-0.5774069458517519
Reinscripción UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,1.0,0.0,Nivel 3.9,1.0,0,-0.672829865965504
Compulsa de documentos,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,0.0,0.0,,0.0,1,-0.10707627731975472
Donación de Planta Forestal para Reforestación,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,7200.0,0.0,0.0,,0.0,1,-0.2131063050950963
"Visita al Parque Nacional ""El Chico""",Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,0.0,0.0,,1.0,2,0.43766890331790886
Inscripción UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,4320.0,4.0,0.0,,1.0,2,0.575936038427332
Examen de Ingreso UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,4320.0,1.0,0.0,,1.0,2,0.29069467502686963
Solicitud de Examen de Admisión UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,4320.0,3.0,0.0,Nivel 3.7,1.0,0,-0.27447497371243523
Certificados de Estudios Parciales y Totales UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,12960.0,3.0,0.0,Nivel 3.7,1.0,0,-0.1864143236137038
Historial Académico UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,1.0,0.0,,1.0,2,0.13456105152156567
Reposición de credencial UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,1.0,0.0,,1.0,2,0.13456105152156567
Reinsripción UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,7200.0,1.0,0.0,Nivel 1,1.0,2,0.258239701225561
Constancia Escolar UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,1440.0,1.0,0.0,Nivel 1,1.0,2,0.06116187720455936
Titulación UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,259200.0,3.0,0.0,Nivel 2,1.0,2,0.6912700550836529
"Prestación de servicios del Polideportivo, Gimnasio Presidente Miguel Alemán y el estadio de béisbol G. Alfonso Corona del Rosal del Instituto Hidalguense del Deporte",Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,0.0,1.0,Nivel 1,1.0,2,-0.262415206004057
Publicaciones e impresiones (Materia Catastral Intructivo de Valuación),Secretaría de Hacienda,Instituto Catastral,4320.0,1.0,0.0,,1.0,2,0.29069467502686963
Preinscripción a Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,30.0,2.0,0.0,Nivel 1,1.0,2,-0.10544674115022912
Inscripción a Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,20.0,6.0,0.0,Nivel 1,1.0,2,0.06834011051519558
Certificación de Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,21600.0,6.0,0.0,Nivel 1,1.0,2,0.5939450594380649
Constancia de No Infracción.,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,Nivel 2,1.0,2,-0.17252137411844404
Constancia de Inscripción de Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,2880.0,2.0,2.0,Nivel 1,1.0,2,0.6161988433718217
Historial Académico de Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,10.0,3.0,1.0,Nivel 1,1.0,2,-0.16699228589030485
Solicitud de exámenes ordinarios de Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,15.0,3.0,0.0,Nivel 1,1.0,2,-0.14327858362747986
Solicitud de exámenes extemporáneos de Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,15.0,3.0,0.0,Nivel 1,1.0,2,-0.14327858362747986
Inscripción a Nivel Posgrado UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,2880.0,6.0,2.0,Nivel 3.7,1.0,0,0.21882389212248132
Servicios de Laboratorio UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,21600.0,2.0,2.0,Nivel 1,1.0,2,0.8082005950298949
Servicios de Evaluación y certificación /Entidad de Certificación y Evaluación UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,43200.0,1.0,0.0,Nivel 1,1.0,2,0.3642697290009026
Consultoría y Estudio Técnico UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,28800.0,3.0,1.0,Nivel 1,1.0,2,0.43351298720949855
Reinscripción UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,2.0,0.0,Nivel 4.3,1.0,0,-0.742064401627801
Expedición de Historial Académico UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,2.0,0.0,Nivel 4.3,1.0,0,-0.742064401627801
Constancia de Estudios UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,10.0,1.0,0.0,Nivel 3.7,1.0,0,-0.855933141888899
Historial Académico UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,10.0,1.0,0.0,Nivel 3.7,1.0,0,-0.855933141888899
Entrega de apoyos a población vulnerable,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
"Expedición de información catastral, sin certificación.",Secretaría de Hacienda,Instituto Catastral,4320.0,1.0,1.0,Nivel 1,1.0,2,0.22362004205865466
Equivalencia de Estudios UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,50.0,4.0,1.0,Nivel 3.7,1.0,0,-0.45658668021397486
Certificado Parcial de Estudios y/o Carta de Pasante UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,70.0,2.0,0.0,Nivel 3.8,1.0,0,-0.6996050757925916
Reposición de credencial escolar UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,4320.0,2.0,0.0,Nivel 1,1.0,2,0.31271842082361545
Constancia de no Adeudo UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,4320.0,2.0,2.0,Nivel 2,1.0,2,0.6433932253851495
Certificado de Estudios ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,5760.0,2.0,0.0,Nivel 1,1.0,2,0.3357765399757319
Constancia Escolar ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,1440.0,1.0,0.0,Nivel 1,1.0,2,0.06116187720455936
