Idtram,Tramite,Secretaria,Dependencia,Domicilio,TraPersona,Tiempo_en_minutos,N_FORMATOS_FINAL,CONTEO_NETO,nivel_digitalizacion,TraResolucionesFavorables,TraResolucionesNegativas,Porcentaje_Efectividad,TraCosto,visitas_totales,Visitas RUTS,Indice_Esfuerzo_A
477.0,Escuela de Fútbol Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Calle - Periodistas 42060 Pachuca De Soto Pachuca De Soto,Social,10.0,1,4,2,1500,200,88.23529412,1,1493.0,6676.0,-0.38878255263667494
334.0,Servicio de inscripción a cursos de Formación de Capital Humano,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,Calle 605 Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Ambos,22864.51619047619,0,0,1,0,0,0.0,0,559.0,343.0,-1.5718278704123347
1318.0,Constancia de Vehículo No Robado,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle Km 84.5 SPAUAH 42083 Pachuca De Soto Pachuca De Soto,Ambos,4320.0,1,7,3,0,0,0.0,1,7646.0,6336.0,0.6384246652980248
1288.0,Permiso provisional para conducir,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,Calle 301 Valle de San Javier 0 Pachuca De Soto Pachuca De Soto,Social,15.0,1,4,1,2316,0,100.0,1,17062.0,3305.4179357022,-1.3829773269260257
358.0,Reinscripción UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,Carretera Km. 100 Tramo Pachuca-Huejutla 43200 Zacualtipán De Ángeles Zacualtipán De Ángeles,Social,22864.51619047619,0,1,1,2153,0,100.0,1,867.0,357.0,-1.5321832634561692
661.0,"Descuento a adultos mayores, personas con capacidades diferentes, pensionados y jubilados.",Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,Calle 27 Segunda Demarcación 42660 Tepatepec Francisco I. Madero,Social,22864.51619047619,1,0,1,2108,0,100.0,1,436.0,20.0,-1.5518339845941673
1245.0,Examen de admisión de CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle 4.5 Parque Industrial CANACINTRA 42083 El Saucillo Mineral De La Reforma,Social,22864.51619047619,0,5,1,2095,25,98.82075472,1,1355.0,1778.0,-1.46305565936133
1260.0,"Publicaciones en el Periódico Oficial, que se realizan por una Plana y Media Plana.",Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,30.0,0,0,1,1200,10,99.17355372,1,1133.0,950.0,-1.4498015799428183
1233.0,Inscripción UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,Carretera s/n Tepoxteco 43000 Huejutla De Reyes Huejutla De Reyes,Social,20.0,2,2,1,1832,0,100.0,1,1547.0,1211.0,-1.4199317720998148
1504.0,Expedición Tarjeta Preferente Tuzobús para la Persona Adulta Mayor,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,Calle S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,20.0,1,3,1,1764,0,100.0,1,2452.0,2841.0,-1.4002810509618167
1184.0,Admisión UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,Social,15.0,0,2,9,1184,0,100.0,1,1029.0,1047.0,6.538211301359002
1505.0,Reposición de la Tarjeta Preferente Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,Calle S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,20.0,1,2,1,1648,0,100.0,1,1487.0,1038.0,-1.4175629519855262
10974.0,Por la Expedición de Copias Certificadas de Escrituras Resguardadas en el Archivo General de Notarías,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,22864.51619047619,1,0,1,1418,0,100.0,1,2871.0670103092784,222.0,-1.5518339845941673
670.0,Cursos musicales EMEH,Secretaría de Cultura,Escuela de Música del Estado de Hidalgo,Calle 201 Centro 42000 Pachuca De Soto Pachuca De Soto,Social,22864.51619047619,0,1,1,130,27,82.80254777,1,1021.0,2341.0,-1.5321832634561692
1205.0,Inscripción UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,Social,10.0,2,3,12,1386,0,100.0,1,681.0,1187.0,9.533296238998023
8289.0,Titulación UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Carretera S/N El Nith 42300 El Nith Ixmiquilpan,Social,259200.0,1,6,1,1317,0,100.0,1,447.0,2604.0,-2.4796530021140244
1633.0,Reinscripción UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,Calle 1000 Paseos de Chavarría 42186 Pachuquilla Mineral De La Reforma,Social,5.0,0,0,7,287,0,100.0,1,467.0,300.0,4.515345242781205
7282.0,Solicitud de Examen de Admisión UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,Boulevard 5 Los Héroes Tizayuca 43816 Tizayuca Tizayuca,Social,2880.0,1,3,1,375,0,100.0,1,734.0,1657.0,-1.412763813872067
347.0,Solicitud de examen de admisión UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,Carretera Km. 100 Tramo Pachuca-Huejutla 43200 Zacualtipán De Ángeles Zacualtipán De Ángeles,Social,22864.51619047619,1,4,1,1031,0,100.0,1,1305.0,2209.0,-1.4827063804993288
429.0,Prestación de servicios de la Alberca semiolímpica del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Calle #104 Carlos Rovirosa 42082 Pachuca De Soto Pachuca De Soto,Social,60.0,3,3,2,8951,500,94.70955454,1,11899.0,8733.0,-0.4110203240097712
7207.0,Reposición de Credencial UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,Calle s/n Domicilio Conocido 42660 Tepatepec Francisco I. Madero,Social,480.0,0,1,1,150,0,100.0,1,285.0,163.0,-1.4344837500063858
6993.0,Constancia Escolar UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,Carretera s/n Tepoxteco 43000 Huejutla De Reyes Huejutla De Reyes,Social,1455.0,0,1,1,1000,0,100.0,1,530.0,10.0,-1.438739237362153
1259.0,Publicación en el Periódico Oficial de Avisos Judiciales que deberán publicarse por disposición de Ley.,Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,20.0,0,0,1,1250,5,99.60159363,1,1846.0,795.0,-1.4497579339186568
1765.0,"Certificación en estándares de competencia del CONOCER, a través del ICATHI",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,Calle Lote 17 San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca,Social,30.0,0,2,1,473,7,98.54166667,1,898.0,1068.0,-1.4152377778953988
350.0,Inscripción UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,Carretera Km. 100 Tramo Pachuca-Huejutla 43200 Zacualtipán De Ángeles Zacualtipán De Ángeles,Social,22864.51619047619,0,6,1,804,0,100.0,1,795.0,1654.0,-1.4457737583376207
840.0,Inscripción a los cursos de capacitación presenciales del ICATHI,Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,Calle Lote 17 San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca,Ambos,60.0,1,1,3,73362,0,100.0,1,1211.0,918.0,0.5533264654486575
6737.0,Titulación UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,Calle s/n Domicilio Conocido 42660 Tepatepec Francisco I. Madero,Social,518400.0,0,8,11,750,0,100.0,1,695.0,873.0,6.367704186548722
7961.0,Emisión de constancias de estudio UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Carretera S/N El Nith 42300 El Nith Ixmiquilpan,Social,10.0,0,1,1,672,0,100.0,1,144.0,728.0,-1.4324323868707851
10525.0,Certificado de Estudios UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,Calle s/n Domicilio Conocido 42660 Tepatepec Francisco I. Madero,Social,21600.0,0,1,1,600,0,100.0,1,2871.0670103092784,51.0,-1.5266641530359282
9072.0,Admisión- UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,Carretera s/n El Desdavi 43487 El Desdavi Tenango De Doria,Social,22864.51619047619,0,3,1,208,251,45.31590414,1,32.0,2716.0,-1.4976194614087495
8190.0,Historial Académico UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,Boulevard 1009 San Javier 43860 Tolcayuca Tolcayuca,Social,180.0,0,1,9,653,0,100.0,1,999.0,348.0,6.520209240936624
8138.0,Titulación UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,Boulevard 5 Los Héroes Tizayuca 43816 Tizayuca Tizayuca,Social,2880.0,2,7,3,36,0,100.0,1,1227.0,612.0,0.642340872663023
7271.0,Inscripción UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,Boulevard 5 Los Héroes Tizayuca 43816 Tizayuca Tizayuca,Social,2880.0,0,5,14,257,0,100.0,1,930.0,1169.0,11.548417174894151
1643.0,Credencialización UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,Calle 1000 Paseos de Chavarría 42186 Pachuquilla Mineral De La Reforma,Social,15.0,0,0,7,520,0,100.0,1,493.0,144.0,4.515301596757045
1575.0,Capacitación en elaboración de quesos y derivados lácteos.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,"Carretera S/N Venta Prieta, Ex Centro Minero 42080 Pachuca De Soto Pachuca De Soto",Ambos,14400.0,1,1,2,537,10,98.17184644,0,891.0,0.0,-0.5257975904089686
540.0,Constancia de Uso de Suelo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,25.0,1,3,1,503,0,100.0,1,9587.0,0.0,-1.4003028739738974
9518.0,Inscripción a cursos de Educación Continua UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,Carretera S/N Tepoxteco 43000 Tepoxteco Huejutla De Reyes,Ambos,4320.0,1,1,2,39,0,100.0,1,155.0,276.0,-0.4594396921215035
351.0,Servicio de Diseño de Imagen Corporativa o Logotipo,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,Calle 605 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Empresarial,22864.51619047619,0,1,1,111,0,100.0,1,918.0,851.0,-1.5321832634561692
8326.0,Titulación UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,Calle 34 La Tahona 42344 Zimapán Zimapán,Social,216000.0,0,6,1,397,0,100.0,1,402.0,151.0,-2.288733357621125
8327.0,Certificado Parcial de Estudios UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,Calle 34 LA Tahona 42344 Zimapán Zimapán,Social,7200.0,0,1,11,397,0,100.0,1,139.0,82.0,8.47791563452964
7527.0,Cursos de Verano (asignaturas) ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,Calle S/N El Saucillo 42411 Huichapan Huichapan,Social,21600.0,0,1,1,210,0,100.0,1,245.0,277.0,-1.5266641530359282
1588.0,Constancia de estudios o Constancia de estudios con calificaciones UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,Carretera S/N Ejido de Zaragoza 42820 San Miguel Vindho Tula De Allende,Social,4320.0,0,1,1,357,0,100.0,1,580.0,153.0,-1.4512438232844846
1432.0,Expedición de finiquito o Constancia de no adeudo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,20.0,1,3,1,234,97,70.69486405,1,846.0,1174.0,-1.4002810509618167
1632.0,Inscripción UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,Calle 1000 Paseos de Chavarría 42186 Pachuquilla Mineral De La Reforma,Social,15.0,0,5,3,233,0,100.0,1,632.0,744.0,0.6250192967665126
637.0,Derecho de Preferencia,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Social,25.0,1,4,1,25,0,100.0,1,1935.0,1173.0,-1.3830209729501879
636.0,Derecho de Preferencia,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,25.0,1,4,1,25,0,100.0,1,457.0,1173.0,-1.3830209729501879
9364.0,Servicio: Asesoría especializada en Acompañamiento y Desarrollo Empresarial,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,Calle 605 Venta Prrieta 42083 Pachuca De Soto Pachuca De Soto,Social,22864.51619047619,0,0,1,0,0,0.0,0,39.0,528.0,-1.5718278704123347
8259.0,Constancia Escolar UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,Calle s/n Tepoxtequito 43000 Huejutla De Reyes Huejutla De Reyes,Social,30.0,0,1,2,150,0,100.0,1,111.0,74.0,-0.43834672764183846
9038.0,Elaboración de Escrituras - Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,40.0,1,4,1,181,0,100.0,1,415.0,10207.0,-1.3830864419864302
