Tiempo_en_minutos,N_FORMATOS_FINAL,CONTEO_NETO,TraCosto,nivel_digitalizacion
-0.18799697435261345,0.0,1.0,0.0,0.0
-0.1884351957380508,0.0,2.5,0.0,0.0
-0.1882160850453321,1.0,2.0,0.0,0.0
-0.18799697435261345,0.0,6.0,0.0,0.0
-0.18799697435261345,0.0,1.5,0.0,0.0
-0.06310387950297515,0.0,-0.5,-1.0,1.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
-0.1884351957380508,0.0,3.0,0.0,0.0
-0.1888734171234881,-1.0,1.0,-1.0,6.0
-0.1884351957380508,0.0,1.0,-1.0,0.0
-0.1882160850453321,0.0,4.0,0.0,0.0
-0.18799697435261345,0.0,4.5,0.0,0.0
-0.18865430643076944,-1.0,0.5,0.0,0.0
-0.18865430643076944,0.0,-0.5,0.0,0.0
-0.18799697435261345,0.0,1.0,0.0,0.0
-0.18799697435261345,0.0,1.0,0.0,0.0
-0.18799697435261345,0.0,0.5,0.0,0.0
-0.1884351957380508,0.0,-0.5,0.0,0.0
-0.18799697435261345,0.0,-0.5,0.0,0.0
-0.18799697435261345,0.0,-0.5,0.0,0.0
-0.18799697435261345,0.0,-0.5,0.0,0.0
-0.18799697435261345,0.0,-0.5,0.0,0.0
