Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z
Apostillas,Secretaría de Gobierno,Secretaría de Gobierno,20.0,0.0,0.0,Nivel 1,1.0,2,-0.2476153605647946
Acreditación de Primaria y Secundaria Abierta de Educación para Adultos,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,8640.0,2.0,0.0,Nivel 1,0.0,1,-0.17355903170551282
Certificación de Primaria y Secundaria Abierta de Educación para Adultos,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,12960.0,1.0,0.0,Nivel 1,0.0,1,-0.2656055821198362
(Inscripción y Reinscripción) por módulo CONALEPH.,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,4.0,0.0,Nivel 1,1.0,2,0.32770868917200263
Reinscripción UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,15.0,1.0,0.0,,1.0,2,-0.20633622179596167
Educación Continua UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,120.0,6.0,1.0,Nivel 2,1.0,2,0.15493209035403185
Conciliación prejudicial laboral,Secretaría de Trabajo y Previsión Social,Centro de Conciliación Laboral del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,1,-0.40224166154945956
Por Búsqueda de Testamento y Expedición de Constancia,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,2,0.041784539982923884
Reinscripción UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,1.0,0.0,Nivel 4.2,1.0,3,-0.7297969299361944
Credencial Institucional UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,0.0,0.0,Nivel 4.2,0.0,3,-1.1655930744463254
Evaluación Segunda Oportunidad (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,4320.0,1.0,0.0,,1.0,2,0.15846138176491462
Asesoria en materia de Seguridad y Salud en el Trabajo,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,1.0,,0.0,1,0.09245594113867113
Autorregulación Ambiental,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,36000.0,4.0,2.0,,1.0,0,1.1430386773562957
Póliza de Accidentes Personales Escolares en CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,2.0,0.0,Nivel 1,1.0,2,0.09288332472743101
Historial académico UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,0.0,0.0,Nivel 4.2,0.0,3,-1.1655930744463254
Asesorías laborales sobre tus derechos y obligaciones como trabajador.,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,0.0,,0.0,1,0.0842258841164187
Escuela de Fútbol Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,4.0,1.0,Nivel 2,1.0,2,0.013298107094723944
Servicio de inscripción a cursos de Formación de Capital Humano,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,1440.0,0.0,0.0,,0.0,1,-0.40224166154945956
Constancia de Vehículo No Robado,Procuraduría General de Justicia,Procuraduría General de Justicia,4320.0,7.0,1.0,Nivel 3.1,1.0,2,0.6029633577585843
Permiso provisional para conducir,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,15.0,4.0,1.0,Nivel 1,1.0,2,0.09604804143762205
Reinscripción UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,1.0,0.0,,1.0,2,0.03355448296067141
"Descuento a adultos mayores, personas con capacidades diferentes, pensionados y jubilados.",Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,0.0,1.0,,1.0,2,0.041784539982923884
Examen de admisión de CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,5.0,0.0,Nivel 1,1.0,2,0.32770868917200263
"Publicaciones en el Periódico Oficial, que se realizan por una Plana y Media Plana.",Secretaría de Gobierno,Secretaría de Gobierno,30.0,0.0,0.0,Nivel 1,1.0,2,-0.2347900872677661
Inscripción UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,20.0,2.0,2.0,Nivel 1,1.0,0,0.3962499042950681
Expedición Tarjeta Preferente Tuzobús para la Persona Adulta Mayor,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,20.0,3.0,1.0,Nivel 1,1.0,2,-0.12133712232217748
Admisión UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,15.0,2.0,0.0,Nivel 3.7,1.0,3,-0.6167620956580426
Reposición de la Tarjeta Preferente Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,20.0,2.0,1.0,Nivel 1,1.0,2,-0.12133712232217748
Por la Expedición de Copias Certificadas de Escrituras Resguardadas en el Archivo General de Notarías,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,2,0.041784539982923884
Cursos musicales EMEH,Secretaría de Cultura,Escuela de Música del Estado de Hidalgo,1440.0,1.0,0.0,,1.0,2,0.03355448296067141
Inscripción UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,10.0,3.0,2.0,Nivel 4.1,1.0,3,-0.2911336252686527
Titulación UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,259200.0,6.0,1.0,Nivel 1,1.0,2,0.8224062918601334
Reinscripción UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,5.0,0.0,0.0,Nivel 3.5,1.0,3,-0.6802761149031865
Solicitud de Examen de Admisión UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,3.0,1.0,Nivel 1,1.0,2,0.14554543548965942
Solicitud de examen de admisión UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,4.0,1.0,,1.0,2,0.3946580856478602
Prestación de servicios de la Alberca semiolímpica del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,60.0,3.0,3.0,Nivel 2,1.0,0,0.7569486829626059
Reposición de Credencial UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,480.0,1.0,0.0,Nivel 1,1.0,2,0.13174590317343826
Constancia Escolar UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,1455.0,1.0,0.0,,1.0,2,0.03421863125570934
Publicación en el Periódico Oficial de Avisos Judiciales que deberán publicarse por disposición de Ley.,Secretaría de Gobierno,Secretaría de Gobierno,20.0,0.0,0.0,Nivel 1,1.0,2,-0.2476153605647946
"Certificación en estándares de competencia del CONOCER, a través del ICATHI",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,30.0,2.0,0.0,Nivel 1,1.0,2,-0.11674190604740149
Inscripción UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,6.0,0.0,,1.0,2,0.38642802862560766
Inscripción a los cursos de capacitación presenciales del ICATHI,Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,60.0,1.0,1.0,Nivel 3.1,1.0,2,-0.30058725072135195
Titulación UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,518400.0,8.0,0.0,Nivel 3.9,1.0,3,0.5309934191569283
Emisión de constancias de estudio UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,10.0,1.0,0.0,Nivel 1,1.0,2,-0.2890861561388597
Certificado de Estudios UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,21600.0,1.0,0.0,Nivel 1,1.0,2,0.17286859857350093
Admisión- UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,1440.0,3.0,0.0,,1.0,2,0.15160266418103605
Historial Académico UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,180.0,1.0,0.0,Nivel 3.7,1.0,3,-0.4006914889244679
Titulación UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,7.0,2.0,Nivel 3.1,1.0,0,1.0400755393115628
Inscripción UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,5.0,0.0,Nivel 4.3,1.0,3,-0.3912106699848873
Credencialización UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,15.0,0.0,0.0,Nivel 3.5,1.0,3,-0.6173715979711971
Capacitación en elaboración de quesos y derivados lácteos.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,14400.0,1.0,1.0,Nivel 2,0.0,1,-0.30933816660194924
Constancia de Uso de Suelo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,3.0,1.0,Nivel 1,1.0,2,-0.10763975800807186
Inscripción a cursos de Educación Continua UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,4320.0,1.0,1.0,Nivel 2,1.0,2,0.049252759879956996
Servicio de Diseño de Imagen Corporativa o Logotipo,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,1440.0,1.0,0.0,,1.0,2,0.03355448296067141
Titulación UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,216000.0,6.0,0.0,Nivel 1,1.0,2,0.8024832710687372
Certificado Parcial de Estudios UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,7200.0,1.0,0.0,Nivel 3.9,1.0,3,-0.45469599181218295
Cursos de Verano (asignaturas) ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,21600.0,1.0,0.0,Nivel 1,1.0,2,0.17286859857350093
Constancia de estudios o Constancia de estudios con calificaciones UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,4320.0,1.0,0.0,Nivel 1,1.0,2,0.09974204231130958
Expedición de finiquito o Constancia de no adeudo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,20.0,3.0,1.0,Nivel 1,1.0,2,-0.12133712232217748
Inscripción UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,15.0,5.0,0.0,Nivel 3.1,1.0,2,-0.029620694491840592
Derecho de Preferencia,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,4.0,1.0,Nivel 1,1.0,2,0.1271856064364998
Derecho de Preferencia,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,25.0,4.0,1.0,,1.0,2,0.18590494589010484
Servicio: Asesoría especializada en Acompañamiento y Desarrollo Empresarial,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,1440.0,0.0,0.0,,0.0,1,-0.40224166154945956
Constancia Escolar UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,0.0,Nivel 2,1.0,2,-0.2935094267213711
Elaboración de Escrituras - Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,40.0,4.0,1.0,Nivel 1,1.0,2,0.14424441485517078
Revalidación de Estudios de Educación Básica,Secretaría de Educación Pública,Instituto Hidalguense de Educación,2880.0,3.0,1.0,Nivel 2,1.0,2,0.08682609603605441
Escuelas de Iniciación Técnico Deportivas del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,3.0,1.0,Nivel 2,1.0,2,-0.22152725734984768
Credencial Escolar UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,1440.0,1.0,0.0,Nivel 1,1.0,2,-0.02516485649293365
Captación de Leche en Centros de Acopio.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,0.0,1.0,Nivel 2,0.0,1,-0.511450283434417
"Publicación en el Periódico Oficial, que realizan los Municipios de instrumentos legales.",Secretaría de Gobierno,Secretaría de Gobierno,255.0,0.0,0.0,Nivel 1,1.0,2,0.0912972331392642
"Publicación en el Periódico Oficial, que realizan los Municipios de instrumentos legales.",Secretaría de Gobierno,Secretaría de Gobierno,255.0,0.0,0.0,,1.0,2,0.15001657259286924
Constancias de estudios con calificaciones de Primaria General,Secretaría de Educación Pública,Instituto Hidalguense de Educación,45.0,1.0,1.0,Nivel 2,0.0,1,-0.6957647567792851
Solicitud de Fichas de Ingreso UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,2880.0,3.0,1.0,Nivel 1,1.0,2,0.14554543548965942
Capacitación,Secretaría de Hacienda,Instituto Catastral,172800.0,1.0,1.0,,1.0,2,0.5022481044900025
Solicitud de factibilidad para la contratación del servicio de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,3.0,1.0,,1.0,2,0.1598327212032885
Cédula de Validación Estatal Impulso NAFIN-Hidalgo,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,1.0,1.0,Nivel 3.1,0.0,1,-0.8100603276446552
Por expedición de primeros y segundos testimonios,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,2,0.041784539982923884
Inscripción UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,30.0,3.0,1.0,Nivel 1,1.0,2,-0.10851184902514902
Financiamiento para Estudios de Nivel Superior,Secretaría de Educación Pública,Instituto Hidalguense de Financiamiento a la Educación Superior,2880.0,5.0,1.0,Nivel 1,1.0,2,0.38037079993423106
Talleres artísticos especializados del Centro de las Artes de Hidalgo.,Secretaría de Cultura,Consejo Estatal para la Cultura y las Artes de Hidalgo,14400.0,0.0,0.0,Nivel 1,1.0,2,0.17694726033953426
Expedición de Certificados Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,2.0,0.0,Nivel 1,1.0,2,-0.11674190604740149
Equivalencia de Estudios de tipo Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,5.0,1.0,Nivel 4.1,1.0,3,-0.15231172857859926
Acreditación de la Lengua Extranjera ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,34560.0,1.0,0.0,Nivel 1,1.0,2,0.20301070446193722
"Validación de trabajos con maquinaria pesada, para su ejecución mediante cuotas de recuperación.",Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Centro Estatal de Maquinaria para el Desarrollo,10080.0,0.0,1.0,Nivel 1,0.0,1,-0.2734919143660613
Cambio de nombre del titular de contrato de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,1.0,1.0,,1.0,2,0.041784539982923884
Expedición de Historial Académico Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,2,-0.2347900872677661
Constitución de Sociedades Cooperativas y Sociedades de Responsabilidad Limitada Microindustrial o Artesanal.,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,3.0,1.0,,0.0,1,-0.5158541280634754
Autorizaciones provisionales para profesionistas,Secretaría de Educación Pública,Secretaría de Educación Pública,60.0,9.0,2.0,Nivel 2,1.0,0,0.8881490526817313
"Titulación Nivel Licenciatura, Grado Académico Maestría y Especialidad UNIDEH.",Secretaría de Educación Pública,Universidad Digital del Estado de Hidalgo,30.0,4.0,0.0,,1.0,2,0.1768027978507752
Refrendo anual de registro de perito valuador,Secretaría de Hacienda,Instituto Catastral,172800.0,2.0,2.0,,1.0,0,1.1378833123276126
Becas Institucionales UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,87840.0,2.0,0.0,Nivel 1,0.0,1,-0.0549128914095391
Vinculación al Servicio Social y Prácticas Profesionales,Oficialía Mayor,Oficialía Mayor,7200.0,1.0,1.0,,0.0,1,-0.23634934531040575
Ficha para Examen de Admisión UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,80.0,2.0,0.0,Nivel 3.7,1.0,3,-0.5248983416264055
Expedición de Credencial Escolar Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,2,-0.2347900872677661
Inscripción registro de perito Topográfo (Catastral),Secretaría de Hacienda,Instituto Catastral,172800.0,1.0,2.0,Nivel 1,1.0,0,0.9611157916536428
Consulta Documental en temas de Población,Secretaría de Gobierno,Consejo Estatal de Población,1440.0,1.0,0.0,Nivel 1,0.0,1,-0.4609610010030646
Atención jurídica en materia familiar.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,1,-0.5799385156548492
Historial Académico UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,0.0,Nivel 2,1.0,2,-0.2935094267213711
Información de Predios con Potencial para el Desarrollo de Parques Industriales.,Secretaría de Desarrollo Económico,Corporación de Fomento de Infraestructura Industrial,1440.0,0.0,0.0,,0.0,1,-0.40224166154945956
Constancia de Estudios (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,7200.0,0.0,1.0,Nivel 1,1.0,2,0.14072745974612016
"Capacitaciones, platicas o talleres sobre el cuidado y la conservación de la biodiversidad",Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,1440.0,0.0,1.0,Nivel 1,0.0,1,-0.45273094398081215
Estudio de prefactibilidad en polígonos para proyectos energéticos.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,36000.0,3.0,1.0,Nivel 1,1.0,2,0.3319069468408736
Servicios de Equinoterapia UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,60.0,3.0,0.0,Nivel 1,1.0,2,-0.07333044761602965
"Atención psicológica a mujeres en situación de violencia de género y, en su caso, a sus hijas e hijos menores de edad.",Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,1,-0.5799385156548492
Sanitarios con Biodigestor Para Población Indígena,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,3.0,1.0,,0.0,1,-0.2759634233068424
Revalidación de Estudios de tipo Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,11520.0,5.0,1.0,Nivel 4.1,1.0,3,-0.12217184923062448
Arrendamiento de salas y espacios en el Parque Científico y Tecnológico de Hidalgo (PCYTH),Organismos No Sectorizados,"Consejo de Ciencia, Tecnología e Innovación de Hidalgo (CITNOVA)",1440.0,0.0,0.0,Nivel 1,1.0,2,-0.02516485649293365
Atención jurídica en materia penal.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,1,-0.5799385156548492
Titulación Nivel Posgrado (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,345600.0,0.0,1.0,Nivel 1,1.0,2,0.4879828903669945
Monitoreo y opiniones técnica en materia de Biodiversidad,Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,1440.0,0.0,1.0,Nivel 1,0.0,1,-0.45273094398081215
Asesoría para la Inversión de Desarrollos Industriales Específicamente en Parques Industriales y Logísticos.,Secretaría de Desarrollo Económico,Corporación de Fomento de Infraestructura Industrial,1440.0,0.0,0.0,,0.0,1,-0.40224166154945956
Dictamen de Convalidación ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,15840.0,4.0,1.0,Nivel 1,1.0,2,0.5441630825621121
Certificado Parcial de Estudios (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,7200.0,0.0,1.0,Nivel 1,1.0,2,0.14072745974612016
Jardines Polinizadores ó farmacias vivientes,Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,1440.0,0.0,1.0,Nivel 2,0.0,1,-0.511450283434417
Asesoría y Capacitación en Materia de Contraloría Social,Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,0.0,1,-0.40224166154945956
Centros de Atención Infantil (CAI),Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,6.0,0.0,,0.0,1,-0.04936811588452326
Registro de Organizaciones de la Sociedad Civil de Asistencia Social,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,4.0,4.0,,0.0,0,0.9877314560876587
Servicio Social DIF,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,0.0,,0.0,1,-0.28419348032909486
Prevención Social de la Violencia y la Delincuencia.,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,8640.0,1.0,1.0,Nivel 1,0.0,1,-0.283377155903625
Renovación anual del registro estatal de consultores en materia de protección civil,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,2,0.21732142494414095
"Por la Suscripción al Periódico Oficial, por ejercicio fiscal vigente.",Secretaría de Gobierno,Secretaría de Gobierno,480.0,0.0,0.0,Nivel 1,1.0,2,0.13174590317343826
Expedición de Registro de Personal Docente de instituciones particulares de educación superior,Secretaría de Educación Pública,Secretaría de Educación Pública,14400.0,4.0,1.0,Nivel 4.1,1.0,3,-0.10786187096293269
Casa de la Mujer Hidalguense,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,180.0,4.0,0.0,,0.0,1,0.04485996731278301
"Reporte de violencia o maltrato en contra de Niñas, Niños y Adolescentes",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,1,-0.40224166154945956
Autorización Para el Uso y Aprovechamiento del Derecho de Vía Estatal,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,35.0,7.0,1.0,Nivel 1,1.0,2,0.39545997738954025
Expedición de Oficio de Afectación o no Afectación del Derecho de Vía,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,2.0,1.0,Nivel 1,0.0,1,-0.5434359025182027
Expedición de Oficio de Afectación de Vialidades y Señalamiento por Accidentes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,2.0,1.0,Nivel 1,1.0,2,-0.12133712232217748
Expedición Tarjeta Preferente Tuzobús para Personas con Discapacidad,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,20.0,2.0,1.0,Nivel 1,1.0,2,-0.12133712232217748
"Por la certificación, expedición y entrega de un ejemplar del Periódico Oficial del Estado.",Secretaría de Gobierno,Secretaría de Gobierno,480.0,0.0,0.0,Nivel 3.7,1.0,3,-0.33800881245540226
Devolución Vehículos Recuperados,Procuraduría General de Justicia,Procuraduría General de Justicia,4320.0,5.0,0.0,Nivel 3.1,0.0,1,-0.10061923544109526
Convocatoria del Instituto de Formación Profesional,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,64800.0,15.0,3.0,Nivel 1,0.0,0,1.6684711523925828
Inscripción al Padrón de Contratistas (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,21600.0,0.0,0.0,Nivel 1,1.0,2,0.17286859857350093
Inscripción al Padrón de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,1.0,2,0.03355448296067141
Revalidación del Registro de Contratistas (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,1.0,2,0.03355448296067141
Revalidación del Registro de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,21600.0,0.0,0.0,Nivel 1,1.0,2,0.17286859857350093
Prestación de servicios del Complejo Deportivo Revolución Mexicana del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,3.0,3.0,Nivel 2,1.0,0,0.6592411556601404
